Area_Name,Year,total,employed,unemployed,unemployment_rate
"Anoka County, MN",2000,178460,173770,4690,2.6
"Anoka County, MN",2001,182182,175765,6417,3.5
"Anoka County, MN",2002,184469,176395,8074,4.4
"Anoka County, MN",2003,187156,178360,8796,4.7
"Anoka County, MN",2004,189152,180761,8391,4.4
"Anoka County, MN",2005,189771,182367,7404,3.9
"Anoka County, MN",2006,190460,182946,7514,3.9
"Anoka County, MN",2007,189109,180465,8644,4.600000000000001
"Anoka County, MN",2008,189160,178872,10288,5.4
"Anoka County, MN",2009,190279,174077,16202,8.5
"Anoka County, MN",2010,187507,172432,15075,8
"Anoka County, MN",2011,187418,174542,12876,6.9
"Anoka County, MN",2012,187476,176355,11121,5.9
"Anoka County, MN",2013,188571,178948,9623,5.100000000000001
"Anoka County, MN",2014,189457,181414,8043,4.2
"Anoka County, MN",2015,190298,183267,7031,3.7
"Anoka County, MN",2016,191787,184641,7146,3.7
"Anoka County, MN",2017,196203,189568,6635,3.4
"Anoka County, MN",2018,196929,191292,5637,2.9
"Anoka County, MN",2019,199772,193596,6176,3.1
"Anoka County, MN",2020,201764,188755,13009,6.4
"Anoka County, MN",2021,194813,187425,7388,3.8
"Anoka County, MN",2022,198440,193204,5236,2.6
"Dakota County, MN",2000,216174,211085,5089,2.4
"Dakota County, MN",2001,219736,212973,6763,3.1
"Dakota County, MN",2002,222109,213424,8685,3.9
"Dakota County, MN",2003,225083,215667,9416,4.2
"Dakota County, MN",2004,226850,217805,9045,4
"Dakota County, MN",2005,228016,219730,8286,3.6
"Dakota County, MN",2006,229098,220909,8189,3.6
"Dakota County, MN",2007,229164,219810,9354,4.100000000000001
"Dakota County, MN",2008,229798,218579,11219,4.9
"Dakota County, MN",2009,228603,211839,16764,7.300000000000001
"Dakota County, MN",2010,227404,211524,15880,7
"Dakota County, MN",2011,228418,214573,13845,6.100000000000001
"Dakota County, MN",2012,228280,216288,11992,5.300000000000001
"Dakota County, MN",2013,229949,219363,10586,4.600000000000001
"Dakota County, MN",2014,232013,223040,8973,3.9
"Dakota County, MN",2015,232810,224956,7854,3.4
"Dakota County, MN",2016,234941,226978,7963,3.4
"Dakota County, MN",2017,239126,231802,7324,3.1
"Dakota County, MN",2018,240631,234323,6308,2.6
"Dakota County, MN",2019,244148,237067,7081,2.9
"Dakota County, MN",2020,246040,230658,15382,6.300000000000001
"Dakota County, MN",2021,237397,229043,8354,3.5
"Dakota County, MN",2022,241932,236152,5780,2.4
"Hennepin County, MN",2000,663451,646167,17284,2.6
"Hennepin County, MN",2001,667654,644557,23097,3.5
"Hennepin County, MN",2002,664613,635533,29080,4.4
"Hennepin County, MN",2003,664774,634435,30339,4.600000000000001
"Hennepin County, MN",2004,660454,631943,28511,4.3
"Hennepin County, MN",2005,652799,628521,24278,3.7
"Hennepin County, MN",2006,649726,626236,23490,3.6
"Hennepin County, MN",2007,653958,627171,26787,4.100000000000001
"Hennepin County, MN",2008,654479,622437,32042,4.9
"Hennepin County, MN",2009,653860,605520,48340,7.4
"Hennepin County, MN",2010,651084,605608,45476,7
"Hennepin County, MN",2011,657377,617481,39896,6.100000000000001
"Hennepin County, MN",2012,660564,625770,34794,5.300000000000001
"Hennepin County, MN",2013,667509,636456,31053,4.7
"Hennepin County, MN",2014,673912,647791,26121,3.9
"Hennepin County, MN",2015,678387,655614,22773,3.4
"Hennepin County, MN",2016,685106,662298,22808,3.3
"Hennepin County, MN",2017,701697,680190,21507,3.1
"Hennepin County, MN",2018,703734,685629,18105,2.6
"Hennepin County, MN",2019,711222,691369,19853,2.8
"Hennepin County, MN",2020,717935,670358,47577,6.600000000000001
"Hennepin County, MN",2021,692722,666210,26512,3.8
"Hennepin County, MN",2022,703573,686159,17414,2.5
"Ramsey County, MN",2000,285276,277372,7904,2.8
"Ramsey County, MN",2001,285670,275723,9947,3.5
"Ramsey County, MN",2002,283420,271130,12290,4.3
"Ramsey County, MN",2003,281429,268122,13307,4.7
"Ramsey County, MN",2004,276963,264297,12666,4.600000000000001
"Ramsey County, MN",2005,271460,260727,10733,4
"Ramsey County, MN",2006,268830,258254,10576,3.9
"Ramsey County, MN",2007,270757,258795,11962,4.4
"Ramsey County, MN",2008,270816,256640,14176,5.2
"Ramsey County, MN",2009,269667,248761,20906,7.800000000000001
"Ramsey County, MN",2010,270269,250065,20204,7.5
"Ramsey County, MN",2011,273002,254784,18218,6.7
"Ramsey County, MN",2012,273270,257449,15821,5.800000000000001
"Ramsey County, MN",2013,275512,261780,13732,5
"Ramsey County, MN",2014,278003,266524,11479,4.100000000000001
"Ramsey County, MN",2015,280242,270141,10101,3.6
"Ramsey County, MN",2016,282227,272058,10169,3.6
"Ramsey County, MN",2017,288172,278748,9424,3.3
"Ramsey County, MN",2018,288474,280472,8002,2.8
"Ramsey County, MN",2019,290194,281441,8753,3
"Ramsey County, MN",2020,291543,271062,20481,7
"Ramsey County, MN",2021,281195,269271,11924,4.2
"Ramsey County, MN",2022,285106,277417,7689,2.7
"Washington County, MN",2000,117541,114732,2809,2.4
"Washington County, MN",2001,120097,116504,3593,3
"Washington County, MN",2002,121517,116878,4639,3.8
"Washington County, MN",2003,123778,118701,5077,4.100000000000001
"Washington County, MN",2004,124381,119443,4938,4
"Washington County, MN",2005,125631,121199,4432,3.5
"Washington County, MN",2006,127554,122964,4590,3.6
"Washington County, MN",2007,127500,122373,5127,4
"Washington County, MN",2008,128837,122424,6413,5
"Washington County, MN",2009,128435,118957,9478,7.4
"Washington County, MN",2010,132144,123252,8892,6.7
"Washington County, MN",2011,133346,125454,7892,5.9
"Washington County, MN",2012,133838,126905,6933,5.2
"Washington County, MN",2013,135014,128944,6070,4.5
"Washington County, MN",2014,136346,131262,5084,3.7
"Washington County, MN",2015,137465,133023,4442,3.2
"Washington County, MN",2016,138733,134104,4629,3.3
"Washington County, MN",2017,141557,137267,4290,3
"Washington County, MN",2018,142780,139093,3687,2.6
"Washington County, MN",2019,145409,141287,4122,2.8
"Washington County, MN",2020,146471,138162,8309,5.7
"Washington County, MN",2021,141738,137110,4628,3.3
"Washington County, MN",2022,144655,141362,3293,2.3
